Country,Year,key,Diagnostic_Exams,ExpenditurePerCapita,Hospitals,Life_Expectancy_at_Birth,PercPopulationabove65,Physicians,Private_Insurance,Public_Insurance,death_by_cancer,death_by_circular,death_by_accident,Mean_Schooling_Years,NationalIncome,hospital_employment,tot_equipment,medical_grads,nurse_grads,death_by_respirat
Australia,2010,Australia2010,118.1,3595.357,44.75,81.8,13.556,3.49,52.5,100,4.851952296,4.012618153,0.443541707,12.6,39980.77299,14.46,129.88,12.08,67.57,0.914316838
Australia,2011,Australia2011,116.7,3809.112,44.23,82,13.822,3.53,53.3,100,4.829090604,3.949771943,0.469157956,12.7,47843.28688,14.53,131,13.48,71.64,0.950491369
Australia,2012,Australia2012,131.8,3854.19,43.24,82.1,14.137,3.5,54.2,100,4.734265732,3.706537398,0.458679987,12.8,52881.8056,14.56,133,13.98,71.68,0.981257446
Australia,2013,Australia2013,139.4,4091.385,42.59,82.2,14.4,3.56,54.8,100,4.769587528,3.568771183,0.451214004,12.2,52930.05827,14.93,135,15.45,74.81,0.943195931
Australia,2014,Australia2014,152.9,4190.681,39.53,82.4,14.663,3.64,55.4,100,4.70467979,3.605015627,0.49711721,12.3,48159.36038,16.63,132,15.31,75.84,1.026992187
Australia,2015,Australia2015,162.9,4381.229,39.34,82.5,14.924,3.69,55.8,100,4.83716371,3.5680375,0.512621512,12.5,43915.72181,17.72,140,15.75,76.8,1.053042091
Austria,2010,Austria2010,180.5,4257.215,15.42,80.7,17.672,3.5,33.9,99.3,6.077247315,7.012392651,0.480025308,11.8,38977.20713,12.72240684,91.52,20.64,34.84,0.959332194
Austria,2011,Austria2011,195.6,4345.158,15.25,81.1,17.69,3.6,34.2,99.9,6.13456644,6.798075835,0.465184921,11.8,42632.92867,12.93885111,92,17.47,34.43,0.917593972
Austria,2012,Austria2012,202.4,4588.344,15.07,81,17.947,3.7,34.5,99.9,6.2026938,7.045093666,0.48762381,11.8,40022.51845,13.08342256,93,16.76,35.74,0.892589438
Austria,2013,Austria2013,208.5,4767.083,14.62,81.2,18.19,3.75,35.2,99.9,6.1091878,6.976452521,0.457769059,11.9,41671.43331,13.15296278,93,13.8,36.98,0.888680125
Austria,2014,Austria2014,232.4,4858.587,14.28,81.6,18.399,3.79,35.7,99.9,6.194979152,6.690930139,0.449282928,12.4,42479.1665,13.33272363,94,14.73,33.83,0.831208683
Austria,2015,Austria2015,251.7,4944.771,13.77,81.3,18.477,3.83,36.2,99.9,6.090908646,7.034073445,0.470592292,12.6,35800.09525,13.38427378,94,14.52,31.75,0.979391086
Belgium,2010,Belgium2010,259.3,3840.327,12.02,80.3,17.177,3.5,78.9,99,6.526533212,4.989434871,0.625374484,11.1,37246.55427,18.1673446,91.52,8.99,41.69,1.74752454
Belgium,2011,Belgium2011,260.8,3998.296,11.6,80.7,17.316,3.6,78.9,99,6.450807671,4.696273071,0.591965666,11.2,38918.80983,18.18734604,92,10.19,37.51,1.659721918
Belgium,2012,Belgium2012,267.3,4160.898,11.52,80.5,17.545,3.56,79.7,99,6.341251704,4.688833555,0.616474217,11.2,37079.60198,18.33407052,93,10.62,42.63,1.7875766
